"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","569","test_faq_opens_success[\u041a\u0430\u043a \u0440\u0430\u0441\u0441\u0447\u0438\u0442\u044b\u0432\u0430\u0435\u0442\u0441\u044f \u0432\u0440\u0435\u043c\u044f \u0430\u0440\u0435\u043d\u0434\u044b?-2-\u0414\u043e\u043f\u0443\u0441\u0442\u0438\u043c, \u0432\u044b \u043e\u0444\u043e\u0440\u043c\u043b\u044f\u0435\u0442\u0435 \u0437\u0430\u043a\u0430\u0437]","tests","2026-09-14","passed","2026-09-14","TestBasePage","test_base_page","",""
"","739","test_faq_opens_success[\u041c\u043e\u0436\u043d\u043e \u043b\u0438 \u043e\u0442\u043c\u0435\u043d\u0438\u0442\u044c \u0437\u0430\u043a\u0430\u0437?-6-\u0414\u0430, \u043f\u043e\u043a\u0430 \u0441\u0430\u043c\u043e\u043a\u0430\u0442 \u043d\u0435 \u043f\u0440\u0438\u0432\u0435\u0437\u043b\u0438.]","tests","2026-09-14","passed","2026-09-14","TestBasePage","test_base_page","",""
"","1853","test_full_order_success[order_button_header_click-\u0422\u043e\u043b\u0438\u043a-\u0411\u0440\u043e\u0432\u043d\u043e\u0432-\u0423\u043b\u0438\u0446\u0430 \u041c\u0430\u0440\u043a\u0430, 22-89085499657-click_yandex_logo-ya.ru]","tests","2026-09-14","passed","2026-09-14","TestOrderPage","test_order_page","",""
"","653","test_faq_opens_success[\u041c\u043e\u0436\u043d\u043e \u043b\u0438 \u043f\u0440\u043e\u0434\u043b\u0438\u0442\u044c \u0437\u0430\u043a\u0430\u0437 \u0438\u043b\u0438 \u0432\u0435\u0440\u043d\u0443\u0442\u044c \u0441\u0430\u043c\u043e\u043a\u0430\u0442 \u0440\u0430\u043d\u044c\u0448\u0435?-4-\u041f\u043e\u043a\u0430 \u0447\u0442\u043e \u043d\u0435\u0442! ]","tests","2026-09-14","passed","2026-09-14","TestBasePage","test_base_page","",""
"","1227","test_faq_opens_success[\u041c\u043e\u0436\u043d\u043e \u043b\u0438 \u0437\u0430\u043a\u0430\u0437\u0430\u0442\u044c \u0441\u0430\u043c\u043e\u043a\u0430\u0442 \u043f\u0440\u044f\u043c\u043e \u043d\u0430 \u0441\u0435\u0433\u043e\u0434\u043d\u044f?-3-\u0422\u043e\u043b\u044c\u043a\u043e \u043d\u0430\u0447\u0438\u043d\u0430\u044f \u0441 \u0437\u0430\u0432\u0442\u0440\u0430\u0448\u043d\u0435\u0433\u043e \u0434\u043d\u044f.]","tests","2026-09-14","passed","2026-09-14","TestBasePage","test_base_page","",""
"","1206","test_faq_opens_success[\u0425\u043e\u0447\u0443 \u0441\u0440\u0430\u0437\u0443 \u043d\u0435\u0441\u043a\u043e\u043b\u044c\u043a\u043e \u0441\u0430\u043c\u043e\u043a\u0430\u0442\u043e\u0432! \u0422\u0430\u043a \u043c\u043e\u0436\u043d\u043e?-1-\u041f\u043e\u043a\u0430 \u0447\u0442\u043e \u0443 \u043d\u0430\u0441 \u0442\u0430\u043a]","tests","2026-09-14","passed","2026-09-14","TestBasePage","test_base_page","",""
"","966","test_faq_opens_success[\u0421\u043a\u043e\u043b\u044c\u043a\u043e \u044d\u0442\u043e \u0441\u0442\u043e\u0438\u0442? \u0418 \u043a\u0430\u043a \u043e\u043f\u043b\u0430\u0442\u0438\u0442\u044c?-0-\u0421\u0443\u0442\u043a\u0438 \u2014 400 \u0440\u0443\u0431\u043b\u0435\u0439]","tests","2026-09-14","passed","2026-09-14","TestBasePage","test_base_page","",""
"","1593","test_full_order_success[order_button_home_click-\u0413\u0435\u043d\u0430\u0434\u0438\u0439-\u0414\u0440\u0430\u043a\u043e\u0432-\u0423\u043b\u0438\u0446\u0430 \u041a\u0430\u0440\u043b\u0430, 54-+79013094965-click_scooter_logo-qa-scooter.education-services.ru]","tests","2026-09-14","passed","2026-09-14","TestOrderPage","test_order_page","",""
"","1139","test_faq_opens_success[\u0412\u044b \u043f\u0440\u0438\u0432\u043e\u0437\u0438\u0442\u0435 \u0437\u0430\u0440\u044f\u0434\u043a\u0443 \u0432\u043c\u0435\u0441\u0442\u0435 \u0441 \u0441\u0430\u043c\u043e\u043a\u0430\u0442\u043e\u043c?-5-\u0421\u0430\u043c\u043e\u043a\u0430\u0442 \u043f\u0440\u0438\u0435\u0437\u0436\u0430\u0435\u0442 \u043a \u0432\u0430\u043c \u0441 \u043f\u043e\u043b\u043d\u043e\u0439 \u0437\u0430\u0440\u044f\u0434\u043a\u043e\u0439.]","tests","2026-09-14","passed","2026-09-14","TestBasePage","test_base_page","",""
"","727","test_faq_opens_success[\u042f \u0436\u0438\u0437\u0443 \u0437\u0430 \u041c\u041a\u0410\u0414\u043e\u043c, \u043f\u0440\u0438\u0432\u0435\u0437\u0451\u0442\u0435?-7-\u0414\u0430, \u043e\u0431\u044f\u0437\u0430\u0442\u0435\u043b\u044c\u043d\u043e. \u0412\u0441\u0435\u043c \u0441\u0430\u043c\u043e\u043a\u0430\u0442\u043e\u0432!]","tests","2026-09-14","passed","2026-09-14","TestBasePage","test_base_page","",""
